country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2015,5.332931034482758,0.942438275862069,-0.12093103448275855,-0.1956141343056355
Pakistan,Southern Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,2015,4.580857142857143,0.5604857142857143,0.613142857142857,-0.21175897440257732
Jordan,Middle East and Northern Africa,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,2015,5.406899999999999,1.0669735,-0.2148999999999992,-0.21355284552445958
Montenegro,Central and Eastern Europe,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2015,5.332931034482758,0.942438275862069,-0.14093103448275812,-0.21355284552445958
China,Eastern Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,2015,5.626166666666666,1.15178,-0.48616666666666664,-0.26019349469340364
Zambia,Sub-Saharan Africa,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2015,4.2028,0.380473,0.9261999999999997,-0.2700597858637572
Romania,Central and Eastern Europe,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,2015,5.332931034482758,0.942438275862069,-0.20893103448275863,-0.2745444636684632
Serbia,Central and Eastern Europe,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2015,5.332931034482758,0.942438275862069,-0.20993103448275807,-0.2754413992294039
Portugal,Western Europe,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,2015,6.689619047619048,1.2985957142857143,-1.5876190476190475,-0.29427704600916954
Latvia,Central and Eastern Europe,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,2015,5.332931034482758,0.942438275862069,-0.23493103448275843,-0.29786478825293483
Philippines,Southeastern Asia,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,2015,5.317444444444444,0.7890544444444445,-0.24444444444444358,-0.3202881772764649
Somaliland region,Sub-Saharan Africa,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,2015,4.2028,0.380473,0.8542000000000005,-0.3346391462515245
Morocco,Middle East and Northern Africa,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,2015,5.406899999999999,1.0669735,-0.3938999999999995,-0.3741043109329388
Macedonia,Central and Eastern Europe,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,2015,5.332931034482758,0.942438275862069,-0.3259310344827586,-0.3794859242985863
Mozambique,Sub-Saharan Africa,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015,4.2028,0.380473,0.7682000000000002,-0.41177560449246997
Albania,Central and Eastern Europe,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,2015,5.332931034482758,0.942438275862069,-0.37393103448275866,-0.42253883122376507
Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2015,5.332931034482758,0.942438275862069,-0.38393103448275845,-0.4315081868331771
Lesotho,Sub-Saharan Africa,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,2015,4.2028,0.380473,0.6951999999999998,-0.47725190044117966
Dominican Republic,Latin America and Caribbean,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,2015,6.144681818181818,0.8768154545454546,-1.259681818181818,-0.4889120627334154
